"Afrikaans,", Goeie môre
"Albanian,", Mirëmëngjes
"Amharic,", Endermen aderkh
"Arabic,", Sabah-il-kheir
"Aramaic,", Yasetel liesbukh
"Armenian,", Bari luys
"Assamese,", Xu Probhaat
"Assyrian,", Kedamtookh brikhta
"Azerbaijani,", Sabahiniz Xeyr
"Bamougoum,", Oli yah
"Bangla,", Shuvo sokal
"Basque,", Egun on
"Belarussian,", Dobray ranitsy
"Bemba,", Mwashibukeni
"Bengali,", Shu-probhaat
"Bisaya,", Maayong adlaw
"Bosnian,", Dobro jutro
"Bulgarian,", Dobro utro
"Cantonese,", Zou san
"Catalan,", Bon dia
"Cebuano,", Maayong buntag!
"Chichewa,", Mwadzuka bwanji
"Chinese: Mandarin,", Zao shang hao
"Cornish,", Myttin da
"Corse,", Bun ghjiornu
"Creole,", Bonjou
"Croatian,", Dobro jutro
"Czech,", Dobré ráno
"Danish,", God morgen
"Dari,", Sob Bakhaer
"Divehi,", Baajjaveri hedhuneh
"Dutch,", Goedemorgen
"Esperanto,", Bonan matenon
"Estonian,", Tere hommikust
"Etsakor,", Naigbia
"Fanti,", Me ma wo akye
"Fijian,", Sa Yadra
"Filipino,", Magandang umaga po
"Finnish,", Hyvää huomenta
"Flemish,", Goeie morgen
"French,", Bonjour
"Frisian,", Goeie moarn
"Galician,", Bos dias
"Georgian,", Dila mshvidobisa
"German,", Guten Morgen
"Greek,", Kali mera
"Greenlandic,", Iterluarit
"Gujarati,", Subh Prabhat
"Hakka,", On zoh
"Hausa,", Inaa kwana
"Hawaiian,", Aloha kakahiaka
"Hebrew,", Boker tov
"Hiligaynon,", Maayong aga
"Hindi,", Shubh prabhat
"Hungarian,", Jo reggelt
"Icelandic,", Gódan daginn
"Ilocano,", Naimbag nga Aldaw
"Indonesian,", Selamat pagi
"Irish Gaelic,", Dia duit ar maidin
"Italian,", Buon giorno
"Japanese,", Ohayo gozaimaz
"Kannada,", Shubhodaya
"Kapampangan,", Mayap a abak
"Kazakh,", Kairly Tan
"Khmer,", Arrun Suo Sdey
"Kimeru,", Muga rukiiri
"Kinyarwanda,", Muraho
"Konkani,", Dev Tuka Boro Dis Divum
"Korean,", Annyunghaseyo
"Kurdish Badini,", Spede bash
"Kurdish Sorani,", Beyani bash
"Lao,", Sabaidee
"Latvian,", Labrit
"Lithuanian,", Labas reytas
"Lozi,", U zuhile
"Luganda,", Wasuze otyano
"Luo,", Oyawore
"Luxembourg,", Gudde moien
"Macedonian,", Dobro utro
"Malayalam,", Suprabhatham
"Malaysian,", Selamat pagi
"Maltese,", Għodwa it-tajba
"Manx,", Moghrey mie
"Maori,", Ata marie
"Marathi,", Suprabhat
"Mongolian,", Öglouny mend
"Navajo,", Yá'át'ééh abíní
"Ndebele,", Livukenjani
"Nepali,", Subha prabhat
"Northern Sotho,", Thobela
"Norwegian,", God morgen
"Owambo,", Wa lalapo
"Pashto,", Sahar de pa Khair
"Persian,", Subbakhair
"Polish,", Dzien dobry
"Polynesian,", Ia ora na
"Portuguese,", Bom dia
"Punjabi,", Sat Shri Akal
"Rapa Nui,", Iorana
"Romanian,", Buna dimineata
"Russian,", Dobraye ootra
"Samoan,", Talofa lava
"Sanskrit,", Suprabhataha
"Sardinian,", Bona dia
"Serbian,", Dobro jutro
"Shona,", Mangwanani
"Sinhalese,", Suba Udesanak Wewa
"Slovak,", Dobré ráno
"Slovenian,", Dobro jutro
"Somalian,", Subax wanaagsan
"Southern Sotho,", Dumela
"Spanish,", Buenos dias
"Swahili,", Habari za asubuhi
"Swazi,", Sawubona
"Swedish,", God morgon
"Tagalog,", Magandang umaga
"Taiwanese,", Gau cha
"Tamil,", Kaalai Vannakkam
"Telugu,", Subhodayamu
"Tetum,", Dader diak
"Thai,", Aroon-Sawass
"Tibetan,", Nyado delek
"Tonga,", Mwabuka buti
"Tswana,", Dumela
"Turkish,", Günaydin
"Turkmen,", Ertiringiz haiyirli bolsun
"Ukrainian,", Dobri ranok
"Urdu,", Subha Ba-khair
"Uzbek,", Khairli kun
"Vietnamese,", Xin chao
"Welsh,", Bore da
"Xhosa,", Bhota
"Xitsonga,", Avuxeni
"Yoruba,", E karo
"Zulu,", Sawubona
"!Kung san,", Tuwa